Z_PK,Z_ENT,Z_OPT,ZMAGFIELDACCURACY,ZGRAVITYX,ZGRAVITYY,ZGRAVITYZ,ZHEADING,ZMAGFIELDX,ZMAGFIELDY,ZMAGFIELDZ,ZQUATW,ZQUATX,ZQUATY,ZQUATZ,ZROTATIONRATEX,ZROTATIONRATEY,ZROTATIONRATEZ,ZTIMESTAMPEPOCH,ZUSERACCELX,ZUSERACCELY,ZUSERACCELZ,ZTIMESTAMPEST,time,gravity_original_x,gravity_original_y,gravity_original_z,user_original_x,user_original_y,user_original_z,interpolated_zcourse,vehicle_trajectory,vehicle_orthogonal,PLS_x,PLS_y
50,2,1,2,0.0232413001358509,-0.121275007724762,-0.992346823215485,69.8815994262695,-8.50058650970459,11.7565145492554,-34.6035766601562,0.175027310848236,0.0221165120601654,-0.0577706545591354,-0.9826184511184691,-0.399668514728546,0.36920177936554,-0.291678577661514,1560740692.00892,0.197125568985939,-0.0622700452804565,-0.733086705207825,"Sunday, June 16, 2019 at 11:04:52 PM Eastern Daylight Time",4,-9.283541132013018e-09,1.6473107572467782e-08,-1.000000001538255,-0.1594267893551673,-0.0878238441543226,-0.7396095166191314,84.189530302935,0.07123255713922183,-0.16749881065114203,-0.10995858559953214,-0.015311114990818456
51,2,1,2,0.0920408889651299,0.0353356599807739,-0.995128095149994,100.411148071289,-16.9525012969971,7.66725254058838,-42.8717041015625,-0.0914279520511627,0.0475024208426476,0.0133972885087132,-0.994587898254395,-0.19499124586582198,-0.131707578897476,-0.14625628292560597,1560740693.01221,0.0375498086214066,-0.0130586698651314,-0.0196577906608582,"Sunday, June 16, 2019 at 11:04:53 PM Eastern Daylight Time",4,-5.734739926856192e-09,-2.1946459927146833e-09,-1.0000000299323113,-0.03248864022276391,0.02006562386648271,-0.02255670000557533,46.253210485896226,-0.03696046498132126,-0.0095950525292923,0.020453430588620737,0.03409397975103961
52,2,1,2,0.16240188479423498,0.14652119576931,-0.9757854342460629,78.95384216308591,-19.662649154663104,5.531795501708981,-33.5216064453125,0.0896356850862503,0.0747168660163879,0.0807755067944527,-0.9898779392242428,-0.334258466959,0.327353298664093,-0.26372408866882296,1560740694.01548,-0.305533230304718,-0.0636084079742432,-0.17951911687851,"Sunday, June 16, 2019 at 11:04:54 PM Eastern Daylight Time",4,-1.5116600060247065e-08,-3.356468571136251e-08,-1.0000000233405821,0.3091118086840745,0.1433997162198827,-0.11623299372558138,38.748199886259044,0.1513238506713508,0.30531079427016256,0.14433160713232757,0.2673104081014855
53,2,1,2,0.12620654702186598,-0.179544731974602,-0.9756206274032589,86.3176498413086,-13.555651664733901,-6.6946086883544895,-44.8206787109375,0.0377223491668701,0.0668739005923271,-0.0878497138619423,-0.993170320987701,1.00495743751526,-0.8317121267318729,-1.04401850700378,1560740695.0188,-0.346790611743927,-0.0157787352800369,-0.290310144424438,"Sunday, June 16, 2019 at 11:04:55 PM Eastern Daylight Time",4,1.2620067994534995e-08,-1.531566536094875e-08,-1.0000000059528713,0.38219226506195075,-0.0036444720007376644,-0.2422983020723713,76.2936136155902,0.09409979112552073,0.3704449202776061,-0.02271481081741432,0.294974130044304
54,2,1,2,0.112562976777554,-0.0355455353856087,-0.9930086135864259,77.1918411254883,-13.102107048034698,1.96851444244385,-46.1206665039062,0.112338609993458,0.0580255426466465,-0.011346054263413,-0.9919095039367679,0.669805705547333,-0.18755649030208602,-0.23301970958709697,1560740696.02211,-0.0283978581428528,-0.0207739099860191,0.11672669649124098,"Sunday, June 16, 2019 at 11:04:56 PM Eastern Daylight Time",4,-1.590122370625016e-08,2.744481066019322e-10,-1.0000000077418547,0.009153338923429892,0.027715929246229197,0.11836874169111518,116.81062879729666,-0.02886507741695015,-0.004331703261147285,-0.028306258579173682,-0.06451800080796377
55,2,1,2,0.15924255549907698,0.037508912384510006,-0.9865266680717472,112.755340576172,-5.6412353515625,-3.7240219116210898,-47.7259521484375,-0.198075652122498,0.0820370838046074,0.0025645480491221,-0.9767442941665649,0.484047472476959,0.5750282406806949,-1.59408068656921,1560740697.02541,-0.17702215909957897,0.0626490414142609,0.0304259657859802,"Sunday, June 16, 2019 at 11:04:57 PM Eastern Daylight Time",4,-5.869649378955483e-09,1.1243435384111766e-09,-0.9999999884034443,0.13162695360452,-0.1254670663956583,0.05585558997336841,147.7077856372757,-0.0442395786835072,0.17638168652965297,-0.19698283687712478,0.010142299487779616
56,2,1,2,0.0774801224470139,0.0331365913152695,-0.996443092823029,168.327056884766,-2.36301708221436,-9.85110473632813,-55.695709228515604,-0.6314652562141421,0.040529128164053,-0.0116556230932474,-0.7742564678192142,0.519073963165283,0.702119946479797,-0.10497803241014501,1560740698.0287302,-0.0517552420496941,-0.191920161247253,-0.0196855068206787,"Sunday, June 16, 2019 at 11:04:58 PM Eastern Daylight Time",4,3.1872242952507568e-09,-6.7669143032078605e-09,-1.0000000201465613,0.19910329639983743,-0.01310965958482141,-0.009245903950917955,166.12550277557196,-0.19015047557187176,0.06047133578400936,-0.0551218925631116,0.1109899653402551
57,2,1,2,0.0729545131325722,0.0958753377199173,-0.992716252803802,171.472717285156,-4.564156532287599,-21.1011066436768,-52.413055419921896,-0.652714908123016,0.0590521767735481,0.0124383997172117,-0.7551962733268741,-0.297909647226334,0.326809376478195,0.36700072884559604,1560740699.032,-0.0869025215506554,-0.193487763404846,0.0513098835945129,"Sunday, June 16, 2019 at 11:04:59 PM Eastern Daylight Time",4,-3.534885920433717e-09,5.520114400303644e-09,-0.9999999999750705,0.19730630571476904,-0.054247457161538434,0.075826790189559,207.80912207509078,-0.19982668302715065,-0.04406655913126767,-0.10442036666433278,0.09672719696566817
58,2,1,2,0.0471536330878735,0.0267713703215122,-0.9985288381576541,172.370712280273,0.63632869720459,-27.169179916381804,-35.256256103515604,-0.658484160900116,0.0265660602599382,-0.00546152470633388,-0.752105832099915,-0.0388708859682083,-0.19087390601635001,0.26243010163307195,1560740700.0353,-0.0689594969153404,-0.115807011723518,0.30671054124832203,"Sunday, June 16, 2019 at 11:05:00 PM Eastern Daylight Time",5,-4.68370341946342e-09,6.901370147235908e-09,-1.000000006007376,0.11375029415452605,-0.03966188217262369,0.3126113209310728,218.36274124098983,-0.11380696371760458,-0.03949897881080118,-0.09664967043920318,0.018500308301501213
59,2,1,2,0.072784386575222,-0.032841868698597,-0.996806800365448,171.501770019531,5.3272848129272505,-10.901060104370101,-32.791778564453104,-0.651787996292114,0.0168855432420969,-0.0362141728401184,-0.7573479413986209,-0.12270384281873699,-0.00723868049681187,-0.136660948395729,1560740701.03861,-0.0566728115081787,-0.136178970336914,0.30286753177642795,"Sunday, June 16, 2019 at 11:05:01 PM Eastern Daylight Time",5,1.7261939828927542e-09,5.6454506174030694e-09,-0.9999999762617743,0.14965028322610158,-0.012484969550611548,0.30155294658861664,201.54717175816705,-0.143777371081148,-0.04334915569334636,-0.060078835406690644,0.062260662106973105
