Z_PK,Z_ENT,Z_OPT,ZACTIVITYCONFIDENCE,ZALTITUDE,ZCOURSE,ZHORIZONTALACCURACY,ZLATITUDE,ZLONGITUDE,ZSPEED,ZTIMESTAMPEPOCH,ZVERTICALACCURACY,ZACTIVITYTYPE,ZTIMESTAMPEST
13096,3,1,2,1777.49170021779,-1.0,32.0048330947235,40.0576338898275,-83.0344080780019,-1.0,1560136252.99918,76.8171157836914,Activity Unavailable,"Sunday, June 9, 2019 at 11:10:52 PM Eastern Daylight Time"
13097,3,1,2,1778.169610997,-1.0,32.0048330947235,40.0576734247168,-83.0343424332168,-1.0,1560136253.99918,68.8551483154297,Activity Unavailable,"Sunday, June 9, 2019 at 11:10:53 PM Eastern Daylight Time"
13098,3,1,2,1779.06091443381,82.972174980642,32.0048330947235,40.0577067825255,-83.0342582693258,8.75383853912354,1560136254.99918,68.9890213012695,Activity Unavailable,"Sunday, June 9, 2019 at 11:10:54 PM Eastern Daylight Time"
13099,3,1,2,1780.70275981908,77.9532700162466,32.0048330947235,40.0577207902709,-83.0341670293317,9.84619331359863,1560136255.99918,68.1311264038086,Activity Unavailable,"Sunday, June 9, 2019 at 11:10:55 PM Eastern Daylight Time"
13100,3,1,2,1782.19724364502,77.8370953286538,32.0048330947235,40.0577445387971,-83.0340470477399,9.84619331359863,1560136256.99919,93.1350173950195,Activity Unavailable,"Sunday, June 9, 2019 at 11:10:56 PM Eastern Daylight Time"
13101,3,1,2,1783.60050355051,84.7655299396881,32.0048330947235,40.0577633340701,-83.0339132546967,9.71870422363281,1560136257.99919,113.153968811035,Activity Unavailable,"Sunday, June 9, 2019 at 11:10:57 PM Eastern Daylight Time"
13102,3,1,2,1784.48027934251,90.8577854717726,32.0048330947235,40.0577700913194,-83.0337888467493,9.71870422363281,1560136258.99919,116.460334777832,Activity Unavailable,"Sunday, June 9, 2019 at 11:10:58 PM Eastern Daylight Time"
13103,3,1,2,1784.1218481875,-1.0,32.0048330947235,40.057761039774,-83.0336529497474,-1.0,1560136259.9992,106.71012878418,Activity Unavailable,"Sunday, June 9, 2019 at 11:10:59 PM Eastern Daylight Time"
13104,3,1,2,1784.2492295781,-1.0,32.0048330947235,40.0577726198974,-83.0335135776178,-1.0,1560136260.9992,118.881301879883,Activity Unavailable,"Sunday, June 9, 2019 at 11:11:00 PM Eastern Daylight Time"
13105,3,1,2,1784.56828330442,-1.0,32.0048330947235,40.0577692691902,-83.0333930089115,-1.0,1560136261.9992,123.296577453613,Activity Unavailable,"Sunday, June 9, 2019 at 11:11:01 PM Eastern Daylight Time"
13106,3,1,2,1784.84671901526,-1.0,32.0048330947235,40.0577533359801,-83.0333160709762,-1.0,1560136262.99921,118.185218811035,Activity Unavailable,"Sunday, June 9, 2019 at 11:11:02 PM Eastern Daylight Time"
13107,3,1,2,1785.08769264157,112.051268239864,32.0048330947235,40.0577330462966,-83.0332480138141,5.41619682312012,1560136263.99921,117.770889282227,Activity Unavailable,"Sunday, June 9, 2019 at 11:11:03 PM Eastern Daylight Time"
13108,3,1,2,1785.23826964904,-1.0,32.0048330947235,40.0577102174261,-83.0331884500815,-1.0,1560136264.99922,100.197769165039,Activity Unavailable,"Sunday, June 9, 2019 at 11:11:04 PM Eastern Daylight Time"
13109,3,1,2,1785.39544374474,-1.0,32.0048330947235,40.0576915566244,-83.033145102827,-1.0,1560136265.99922,104.797058105469,automotive,"Sunday, June 9, 2019 at 11:11:05 PM Eastern Daylight Time"
13110,3,1,2,1785.44158304776,-1.0,32.0048330947235,40.0576836210685,-83.0331210164448,-1.0,1560136266.99922,119.592147827148,automotive,"Sunday, June 9, 2019 at 11:11:06 PM Eastern Daylight Time"
13111,3,1,2,1785.37207254668,-1.0,32.0048330947235,40.0576814416248,-83.0331125875832,-1.0,1560136267.99923,139.888046264648,automotive,"Sunday, June 9, 2019 at 11:11:07 PM Eastern Daylight Time"
13112,3,1,2,1785.12911777476,-1.0,32.0048330947235,40.0576753978561,-83.0330927108468,-1.0,1560136268.99923,173.350784301758,automotive,"Sunday, June 9, 2019 at 11:11:08 PM Eastern Daylight Time"
13113,3,1,2,1784.97467633294,-1.0,32.0048330947235,40.0576735572526,-83.0330792600864,-1.0,1560136269.99924,159.908584594727,automotive,"Sunday, June 9, 2019 at 11:11:09 PM Eastern Daylight Time"
13114,3,1,2,1784.90356632909,-1.0,32.0048330947235,40.0576766558558,-83.0330785571924,-1.0,1560136270.99924,155.132781982422,automotive,"Sunday, June 9, 2019 at 11:11:10 PM Eastern Daylight Time"
13115,3,1,2,1784.70813619947,-1.0,32.0048330947235,40.0576724413647,-83.0330733843924,-1.0,1560136271.99925,130.222946166992,automotive,"Sunday, June 9, 2019 at 11:11:11 PM Eastern Daylight Time"
13116,3,1,2,1784.14100706188,-1.0,32.0048330947235,40.0576629202683,-83.0330571074659,-1.0,1560136272.99926,117.881050109863,automotive,"Sunday, June 9, 2019 at 11:11:12 PM Eastern Daylight Time"
13117,3,1,2,1783.33875752911,-1.0,32.0048330947235,40.0576517215327,-83.0330267787086,-1.0,1560136273.99926,112.32551574707,automotive,"Sunday, June 9, 2019 at 11:11:13 PM Eastern Daylight Time"
13118,3,1,2,1781.82055252992,-1.0,32.0048330947235,40.0576410998197,-83.0329858322036,-1.0,1560136274.99927,78.3752212524414,automotive,"Sunday, June 9, 2019 at 11:11:14 PM Eastern Daylight Time"
