Z_PK,Z_ENT,Z_OPT,ZMAGFIELDACCURACY,ZGRAVITYX,ZGRAVITYY,ZGRAVITYZ,ZHEADING,ZMAGFIELDX,ZMAGFIELDY,ZMAGFIELDZ,ZQUATW,ZQUATX,ZQUATY,ZQUATZ,ZROTATIONRATEX,ZROTATIONRATEY,ZROTATIONRATEZ,ZTIMESTAMPEPOCH,ZUSERACCELX,ZUSERACCELY,ZUSERACCELZ,ZTIMESTAMPEST
1073,2,1,0,-0.997245192527771,0.0741338655352592,0.00246145413257182,141.59245300293,0.527308464050293,-13.3820476531982,-7.4935302734375,0.283522367477417,0.625565707683563,-0.331509083509445,0.646826326847076,0.0205533653497696,0.122903548181057,-0.0825434252619743,1560741719.13494,-0.0442964434623718,0.00975677371025085,0.00131559371948242,"Sunday, June 16, 2019 at 11:21:59 PM Eastern Daylight Time"
1074,2,1,0,-0.996749937534332,0.0805308148264885,0.00211137975566089,141.489318847656,2.47139549255371,-12.4089336395264,-7.27725219726562,0.280916452407837,0.624687552452087,-0.332898110151291,0.648097455501556,0.0745990499854088,-0.00665850192308426,0.0705755278468132,1560741720.13841,-0.046761691570282,-0.0296589732170105,0.000812888145446777,"Sunday, June 16, 2019 at 11:22:00 PM Eastern Daylight Time"
1075,2,1,0,-0.997274160385132,0.0737511739134789,0.00225775456055999,141.309204101562,1.54835224151611,-13.1409244537354,-7.82705688476562,0.282082170248032,0.626379609107971,-0.329814285039902,0.647534430027008,0.181537017226219,0.0586867369711399,0.0911840572953224,1560741721.14189,-0.00266259908676147,-0.0125958025455475,0.0553581714630127,"Sunday, June 16, 2019 at 11:22:01 PM Eastern Daylight Time"
1076,2,1,0,-0.996048271656036,0.0885430350899696,-0.00695003848522902,141.137145996094,-4.1920223236084,-21.1178092956543,-5.35159301757812,0.277820944786072,0.621411144733429,-0.332224577665329,0.652909398078918,0.0192828476428986,-0.0128685906529427,0.092910073697567,1560741722.14537,0.19461452960968,-0.000560164451599121,0.045947253704071,"Sunday, June 16, 2019 at 11:22:02 PM Eastern Daylight Time"
1077,2,1,0,-0.99576723575592,0.0919055193662643,-0.0010520942742005,140.955413818359,4.06566715240479,-16.961633682251,-3.36441040039062,0.274703681468964,0.623307049274445,-0.333110004663467,0.651969313621521,-0.146084830164909,-0.137031048536301,-0.0695369765162468,1560741723.14883,-0.088318943977356,-0.149841994047165,-0.000722408294677734,"Sunday, June 16, 2019 at 11:22:03 PM Eastern Daylight Time"
1078,2,1,0,-0.996076226234436,0.0883398726582527,-0.00533964531496167,140.893142700195,4.85616397857666,-18.2436141967773,-4.06900024414062,0.27622789144516,0.622679591178894,-0.331059366464615,0.65296870470047,-0.296871930360794,-0.195148050785065,-0.465563476085663,1560741724.15227,-0.0464895963668823,-0.0568452775478363,0.0844501256942749,"Sunday, June 16, 2019 at 11:22:04 PM Eastern Daylight Time"
1079,2,1,0,-0.996660530567169,0.0806145220994949,-0.0129972090944648,141.010971069336,1.31503868103027,-13.1585140228271,-7.86618041992187,0.280676364898682,0.621119201183319,-0.328195571899414,0.654002547264099,-0.149852231144905,0.0314556434750557,-0.0523358210921288,1560741725.15576,-0.0300966501235962,-0.06625697016716,0.0334813594818115,"Sunday, June 16, 2019 at 11:22:05 PM Eastern Daylight Time"
1080,2,1,0,-0.996129155158997,0.0868643894791603,-0.0134601276367903,140.906936645508,1.19783020019531,-13.0025062561035,-7.92861938476562,0.278132498264313,0.62022066116333,-0.329539477825165,0.655265092849731,0.227323338389397,-0.271686464548111,0.169521540403366,1560741726.15924,0.0911532640457153,-0.00208652019500732,0.0707476139068604,"Sunday, June 16, 2019 at 11:22:06 PM Eastern Daylight Time"
1081,2,1,0,-0.996552407741547,0.0824407786130905,-0.00931771658360958,142.230407714844,1.63485813140869,-13.6387710571289,-7.42950439453125,0.286412209272385,0.618481457233429,-0.335889607667923,0.650097608566284,0.0764510929584503,0.0989538282155991,0.0259591080248356,1560741727.16271,-0.0529244542121887,-0.020826518535614,-0.000120639801025391,"Sunday, June 16, 2019 at 11:22:07 PM Eastern Daylight Time"
1082,2,1,0,-0.996554315090179,0.0820889100432396,-0.0118707986548543,142.213043212891,2.52707290649414,-12.4210414886475,-7.54946899414062,0.286857634782791,0.617758691310883,-0.335318952798843,0.650882542133331,-0.174752742052078,0.116615831851959,-0.0706955567002296,1560741728.16615,-0.00234192609786987,-0.0294466614723206,0.0112842917442322,"Sunday, June 16, 2019 at 11:22:08 PM Eastern Daylight Time"
