Z_PK,Z_ENT,Z_OPT,ZMAGFIELDACCURACY,ZGRAVITYX,ZGRAVITYY,ZGRAVITYZ,ZHEADING,ZMAGFIELDX,ZMAGFIELDY,ZMAGFIELDZ,ZQUATW,ZQUATX,ZQUATY,ZQUATZ,ZROTATIONRATEX,ZROTATIONRATEY,ZROTATIONRATEZ,ZTIMESTAMPEPOCH,ZUSERACCELX,ZUSERACCELY,ZUSERACCELZ,ZTIMESTAMPEST
46117,2,1,0,0.249755397439003,0.079851858317852,-0.965010821819305,294.068206787109,94.3283004760742,24.6339988708496,-14.7281494140625,-0.968340337276459,0.012441348284483,-0.131680652499199,0.211712718009949,0.0101477932184935,-0.000916492659598589,-0.0192707534879446,1560137556.93037,-0.00718273222446442,-0.114338546991348,-0.0782992243766785,"Sunday, June 9, 2019 at 11:32:36 PM Eastern Daylight Time"
46118,2,1,0,0.24963866174221,0.0798132419586182,-0.965044260025024,295.097503662109,93.7381286621094,25.2254657745361,-14.9382629394531,-0.966407835483551,0.0112520158290863,-0.13172422349453,0.220404297113419,-0.0150243677198887,0.037278588861227,-0.0223647747188807,1560137557.93377,0.000684946775436401,-0.0402034223079681,0.0143244862556458,"Sunday, June 9, 2019 at 11:32:37 PM Eastern Daylight Time"
46119,2,1,0,0.251596599817276,0.073585644364357,-0.96503072977066,296.171447753906,93.934814453125,25.1729202270508,-14.9806823730469,-0.964378237724304,0.00677951704710722,-0.132055580615997,0.229106575250626,-0.000269665149971843,-0.0546678863465786,-0.0165610164403915,1560137558.93717,0.00771301984786987,-0.105947874486446,-0.00636476278305054,"Sunday, June 9, 2019 at 11:32:38 PM Eastern Daylight Time"
46120,2,1,0,0.251116901636124,0.0673431530594826,-0.965611279010773,297.496032714844,93.5705795288086,25.8903102874756,-14.5659484863281,-0.961905002593994,0.00230908347293735,-0.13110688328743,0.239884093403816,-0.0209525413811207,0.0570118501782417,-0.020910607650876,1560137559.94052,-0.00413700938224792,-0.0873117446899414,0.0514518022537231,"Sunday, June 9, 2019 at 11:32:39 PM Eastern Daylight Time"
46121,2,1,0,0.251561254262924,0.0642516762018204,-0.965706288814545,298.417938232422,93.7808227539063,25.9658432006836,-15.0088500976562,-0.960013389587402,-0.000287061266135424,-0.130945667624474,0.247441709041595,0.0220057461410761,-0.00221109297126532,-0.00316987233236432,1560137560.94394,0.00750249624252319,-0.0836082622408867,-0.0180181264877319,"Sunday, June 9, 2019 at 11:32:40 PM Eastern Daylight Time"
46122,2,1,0,0.253697603940964,0.0454340502619743,-0.966215968132019,298.9609375,93.9146194458008,25.219705581665,-14.7958374023437,-0.959251761436462,-0.0102056646719575,-0.129568010568619,0.250886201858521,0.0588101930916309,-0.0653082132339478,-0.00399792846292257,1560137561.94731,-0.00484398007392883,-0.125387266278267,-0.0852878093719482,"Sunday, June 9, 2019 at 11:32:41 PM Eastern Daylight Time"
46123,2,1,0,0.254247844219208,0.0331950671970844,-0.966569244861603,299.164154052734,93.8583602905273,25.3385715484619,-15.0048217773438,-0.959089577198029,-0.0163721423596144,-0.128247126936913,0.251856595277786,-0.0328698977828026,0.106292031705379,-0.000379265984520316,1560137562.9507,-0.00315231084823608,-0.0129517242312431,-0.0332986116409302,"Sunday, June 9, 2019 at 11:32:42 PM Eastern Daylight Time"
46124,2,1,0,0.254046350717545,0.0357394441962242,-0.96653151512146,299.144775390625,93.9137649536133,25.1360759735107,-14.7841796875,-0.959081888198853,-0.0151048079133034,-0.128476053476334,0.251848250627518,-0.00113579188473523,0.0175652746111155,-0.00789937935769558,1560137563.9541,-0.00751325488090515,-0.00278710573911667,0.0431864261627197,"Sunday, June 9, 2019 at 11:32:43 PM Eastern Daylight Time"
46125,2,1,0,0.254457801580429,0.0360380075871944,-0.96641218662262,299.244842529297,93.8321533203125,24.8684024810791,-14.6878051757812,-0.9588263630867,-0.0151278702542186,-0.128705337643623,0.252701282501221,0.0293298289179802,-0.0866960361599922,0.00335057033225894,1560137564.95747,-0.000769078731536865,-0.03477843105793,0.0691136717796326,"Sunday, June 9, 2019 at 11:32:44 PM Eastern Daylight Time"
46126,2,1,0,0.256726413965225,0.0279983077198267,-0.966078460216522,299.219970703125,94.001594543457,24.822229385376,-14.6505432128906,-0.958927154541016,-0.0192482825368643,-0.128803178668022,0.251987993717194,0.0261827521026134,-0.00343081634491682,0.0044110519811511,1560137565.96087,0.0187654793262482,-0.0769504979252815,-0.0746833682060242,"Sunday, June 9, 2019 at 11:32:45 PM Eastern Daylight Time"
